Bdrmcnt,Average,Alpine,Bonita,Bonsall,Borrego Springs,Boulevard,Campo,Carlsbad,Chula Vista,Coronado,Del Mar,Descanso,Dulzura,El Cajon,Encinitas,Escondido,Fallbrook,Imperial Beach,Jamul,Julian,La Mesa,Lakeside,Lemon Grove,National City,Oceanside,Pala,Palomar Mountain,Pauma Valley,Pine Valley,Potrero,Poway,Ramona,Rancho Santa Fe,San Diego,San Marcos,Santa Ysabel,Santee,Solana Beach,Spring Valley,Valley Center,Vista,Warner Springs
1 Bedroom,386638,320414,272213,297428,176200,0,289287,428099,267140,1312734,1153939,339834,382580,247560,699587,252540,392874,315814,359284,301086,275860,219189,342251,276219,419723,266194,291134,350589,0,301791,448041,373161,568245,364616,308065,350380,278950,676324,296615,362631,371746,276700
2 Bedroom,492646,406853,398499,402710,196695,260620,301924,592919,403048,1580390,1507738,397571,383272,353358,794447,402850,453806,556091,449468,370198,445090,375012,442150,404882,392801,434941,333953,461839,309568,329745,497805,395830,1001017,533574,447542,379082,364777,1075718,374551,478828,450671,298771
3 Bedroom,678378,613108,656280,626531,248022,319099,340346,833109,534250,1909234,2548064,477958,521915,533140,1098469,540042,579987,654962,629858,465463,610610,549265,512110,479874,562183,636803,430684,561615,399167,429820,670878,540422,1818630,696848,575486,526818,548007,1460412,510271,592033,564241,341780
4 Bedroom,838959,760176,751767,889942,386944,418842,364698,1056971,642296,2323515,3220677,554931,667019,685947,1349583,674917,699001,683844,805395,573520,708392,617405,558852,520605,632586,829962,694011,745191,511023,550596,850339,633325,2457423,836012,695710,627540,602357,1873621,578772,727666,658980,516253
5+ Bedroom,1083640,859417,837993,1147002,803866,580524,511647,1306063,748105,3239332,4084985,653081,776430,823520,1964034,805199,840431,764881,958235,771626,841284,713178,612354,575996,731740,889103,797147,895132,0,534372,1199880,750756,3348597,1178382,884979,697810,709184,2099314,680188,841243,804954,0
